1.02974,5.28341
2.09994,10.4801
0.711228,3.30971
2.88018,13.5896
1.25316,9.01981
2.51971,8.51273
3.31239,13.8309
1.51212,6.51572
0.13694,11.4108
2.30318,7.50874
1.64055,11.5468
1.87878,6.76789
1.10933,12.6366
2.7611,9.16804
0.675233,7.99236
1.14498,5.38368
3.44966,5.70613
2.26201,3.64423
3.16005,14.598
0.126581,10.8682
3.01733,12.8056
1.27206,7.70438
1.80624,6.39453
0.696102,12.2662
1.05724,4.19941
3.27507,8.8414
1.55556,10.7183
2.45965,9.8117
2.59123,4.33843
0.188109,14.8947
3.32262,10.1968
1.28062,5.20279
2.28726,5.47431
0.12971,10.8426
1.63163,6.7801
0.642649,7.89742
2.72862,4.02907
1.00821,12.2544
3.15006,14.8925
1.88138,13.2201
